seaport_name,un_locode,pmo,latitude,longitude,seaport_type,n_vessels,n_passengers,year_stats
Port of Linapacan,PHLPC*,PLW,11.49006,119.87142,3,1028,38375,2024
Port of San Fernando (Palawan),PHSFP*,PLW,11.32827,119.53943,3,998,32849,2024
Port of Iloilo,PHILO,PNG,10.68987,122.58166,1,83981,8226213,2024
Port of Roxas-Culasi,PHCSI,PNG,11.61171,122.71523,2,1216,106966,2024
Port of Dumangas-Naluoyan,PHDUM*,PNG,10.77979,122.7093,2,13318,2270707,2024
Port of Jordan,PHGMS,PNG,10.66467,122.58464,2,45189,4301148,2024
Port of Buenavista,PHBNV*,PNG,10.68878,122.61302,3,28840,2464323,2024
Port of Sibunag,PHSBN*,PNG,10.49714,122.67469,3,1252,82186,2024
Port of Ajuy (FF Cruz),PHAJU,PNG,11.04594,122.93478,4,1475,157883,2024
Port of General Santos,PHGES,SSG,6.09384,125.15757,1,1194,26322,2024
Port of Mabila,PHMBA*,SSG,5.41523,125.42557,3,1034,41686,2024
Port of Surigao,PHSUG,SUG,9.78291,125.5009,1,12492,1874256,2024
Port of Dapa,PHDAP*,SUG,9.75783,126.0511,2,4564,830522,2024
Port of San Jose (Dinagat Islands),PHDNG,SUG,10.00868,125.57086,2,3845,501795,2024
Port of Del Carmen,PHIAO,SUG,9.8684,125.96835,3,511,57775,2024
Port of Hayanggabon,PHHGB*,SUG,9.54089,125.84043,3,1149,58487,2024
Port of Ormoc,PHORC,WLB,11.00535,124.607,1,8082,1446223,
Port of Hilongos,PHHIL,WLB,10.36927,124.74167,2,2050,826582,
Port of Maasin,PHMAA,WLB,10.13213,124.84107,2,634,63701,
Port of Naval,PHNVL*,WLB,11.56027,124.39165,2,1089,56244,
Port of Palompon,PHPPN,WLB,11.05192,124.38273,2,1086,158843,
Port of Bato,PHBTO*,WLB,10.32849,124.78677,3,1542,134077,
Port of Baybay,PHBYB,WLB,10.67606,124.79714,3,503,128777,
Port of Limasawa-Magallanes,PHLMW,WLB,9.91224,125.07741,3,1167,64293,
Port of Maripipi,PHMPP*,WLB,11.7791,124.34916,3,806,38231,
Port of Padre Burgos,PHPBG*,WLB,10.03176,125.01862,3,1160,157495,
Port of Isabel (Pingag),PHISL,WLB,10.89732,124.45101,4,1065,130152,
Port of Zamboanga,PHZAM,ZBA,6.90298,122.07424,1,8298,2545863,
Port of Isabela,PHBCT,ZBA,6.70913,121.97171,2,5443,1383135,
Port of Dapitan,PHDPN*,ZDN,8.6384,123.38103,1,4457,843150,
Port of Dipolog,PHDPL,ZDN,8.56032,123.32778,3,328,162624,
